Município,Ano,Area Colhida
3504503,2001,13508
3504503,2002,11070
3504503,2003,15460
3504503,2004,14629
3504503,2005,18973
3504503,2006,17790
3504503,2007,16520
3504503,2008,16352
3504503,2009,20690
3504503,2010,19868
3504503,2011,19720
3504503,2012,19910
3504503,2013,19910
3504503,2014,19910
3504602,1990,2686
3504602,1991,2230
3504602,1992,2230
3504602,1993,2430
3504602,1994,1605
3504602,1995,809
3504602,1996,812
3504602,1997,810
3504602,1998,662
3504602,1999,965
3504602,2000,831
3504602,2001,695
3504602,2002,1116
3504602,2003,1345
3504602,2004,1480
3504602,2005,2031
3504602,2006,2080
3504602,2007,2067
3504602,2008,2166
3504602,2009,2422
3504602,2010,3000
3504602,2011,3080
3504602,2012,2992
3504602,2013,3271
3504602,2014,3310
3504701,1990,267
3504701,1991,498
3504701,1992,230
3504701,1993,272
3504701,1994,311
3504701,1995,449
3504701,1996,305
3504701,1997,305
3504701,1998,466
3504701,1999,468
3504701,2000,199
3504701,2001,267
3504701,2002,111
3504701,2003,61
3504701,2004,61
3504701,2005,60
3504701,2006,61
3504701,2007,78
3504701,2008,87
3504701,2009,87
3504701,2010,428
3504701,2011,1217
3504701,2012,1217
3504701,2013,3790
3504701,2014,4196
3504800,1990,819
3504800,1991,529
3504800,1992,648
3504800,1993,652
3504800,1994,605
3504800,1995,790
3504800,1996,695
3504800,1997,650
3504800,1998,510
3504800,1999,685
3504800,2000,391
3504800,2001,569
3504800,2002,897
3504800,2003,906
3504800,2004,1122
3504800,2005,1325
3504800,2006,1600
3504800,2007,2340
3504800,2008,7575
3504800,2009,8215
3504800,2010,9291
3504800,2011,9412
3504800,2012,9435
3504800,2013,8630
3504800,2014,8101
3504909,1990,651
3504909,1991,563
3504909,1992,390
3504909,1993,162
3504909,1994,170
3504909,1995,210
3504909,1996,-
3504909,1997,250
3504909,1998,485
3504909,1999,485
3504909,2000,505
3504909,2001,495
3504909,2002,430
3504909,2003,430
3504909,2004,430
3504909,2005,391
3504909,2006,399
3504909,2007,374
3504909,2008,363
3504909,2009,378
3504909,2010,363
3504909,2011,363
3504909,2012,328
3504909,2013,408
3504909,2014,400
3505005,1990,2200
3505005,1991,1350
3505005,1992,1453
3505005,1993,1020
3505005,1994,310
3505005,1995,740
3505005,1996,890
3505005,1997,1660
3505005,1998,2237
3505005,1999,2420
3505005,2000,2723
3505005,2001,2120
3505005,2002,2415
3505005,2003,2855
3505005,2004,3685
3505005,2005,2825
3505005,2006,3645
3505005,2007,3313
3505005,2008,3111
3505005,2009,1853
3505005,2010,1483
3505005,2011,1533
3505005,2012,1903
3505005,2013,2301
3505005,2014,3590
3505104,1990,3525
3505104,1991,1820
3505104,1992,2013
3505104,1993,2812
3505104,1994,2895
3505104,1995,4092
3505104,1996,1150
3505104,1997,2442
