Municipio,Lavoura temporária,Ano,Valor
3501004,Trigo (em grão),2014,-
3501004,Triticale (em grão),1995,-
3501004,Triticale (em grão),2014,-
3501103,Abacaxi,1995,-
3501103,Abacaxi,2014,-
3501103,Algodão herbáceo (em caroço),1995,74
3501103,Algodão herbáceo (em caroço),2014,-
3501103,Alho,1995,-
3501103,Alho,2014,-
3501103,Amendoim (em casca),1995,12
3501103,Amendoim (em casca),2014,213
3501103,Arroz (em casca),1995,85
3501103,Arroz (em casca),2014,-
3501103,Aveia (em grão),1995,-
3501103,Aveia (em grão),2014,-
3501103,Batata-doce,1995,-
3501103,Batata-doce,2014,298
3501103,Batata-inglesa,1995,-
3501103,Batata-inglesa,2014,-
3501103,Cana-de-açúcar,1995,3468
3501103,Cana-de-açúcar,2014,54031
3501103,Cebola,1995,-
3501103,Cebola,2014,-
3501103,Centeio (em grão),1995,-
3501103,Centeio (em grão),2014,-
3501103,Cevada (em grão),1995,-
3501103,Cevada (em grão),2014,-
3501103,Ervilha (em grão),1995,-
3501103,Ervilha (em grão),2014,-
3501103,Fava (em grão),1995,-
3501103,Fava (em grão),2014,-
3501103,Feijão (em grão),1995,52
3501103,Feijão (em grão),2014,-
3501103,Fumo (em folha),1995,-
3501103,Fumo (em folha),2014,-
3501103,Girassol (em grão),1995,-
3501103,Girassol (em grão),2014,-
3501103,Juta (fibra),1995,-
3501103,Juta (fibra),2014,-
3501103,Linho (semente),1995,-
3501103,Linho (semente),2014,-
3501103,Malva (fibra),1995,-
3501103,Malva (fibra),2014,-
3501103,Mamona (baga),1995,-
3501103,Mamona (baga),2014,-
3501103,Mandioca,1995,-
3501103,Mandioca,2014,49
3501103,Melancia,1995,342
3501103,Melancia,2014,120
3501103,Melão,1995,-
3501103,Melão,2014,-
3501103,Milho (em grão),1995,202
3501103,Milho (em grão),2014,606
3501103,Rami (fibra),1995,-
3501103,Rami (fibra),2014,-
3501103,Soja (em grão),1995,-
3501103,Soja (em grão),2014,-
3501103,Sorgo (em grão),1995,-
3501103,Sorgo (em grão),2014,-
3501103,Tomate,1995,480
3501103,Tomate,2014,160
3501103,Trigo (em grão),1995,-
3501103,Trigo (em grão),2014,-
3501103,Triticale (em grão),1995,-
3501103,Triticale (em grão),2014,-
3501152,Abacaxi,1995,-
3501152,Abacaxi,2014,-
