Municipio,Lavoura permanente,Ano,Valor
3500709,Dendê (cacho de coco),2014,-
3500709,Erva-mate (folha verde),1995,-
3500709,Erva-mate (folha verde),2014,-
3500709,Figo,1995,-
3500709,Figo,2014,-
3500709,Goiaba,1995,-
3500709,Goiaba,2014,-
3500709,Guaraná (semente),1995,-
3500709,Guaraná (semente),2014,-
3500709,Laranja,1995,53
3500709,Laranja,2014,4818
3500709,Limão,1995,24
3500709,Limão,2014,-
3500709,Maçã,1995,-
3500709,Maçã,2014,-
3500709,Mamão,1995,-
3500709,Mamão,2014,-
3500709,Manga,1995,-
3500709,Manga,2014,-
3500709,Maracujá,1995,-
3500709,Maracujá,2014,-
3500709,Marmelo,1995,-
3500709,Marmelo,2014,-
3500709,Noz (fruto seco),1995,-
3500709,Noz (fruto seco),2014,-
3500709,Palmito,1995,-
3500709,Palmito,2014,-
3500709,Pera,1995,-
3500709,Pera,2014,-
3500709,Pêssego,1995,-
3500709,Pêssego,2014,-
3500709,Pimenta-do-reino,1995,-
3500709,Pimenta-do-reino,2014,-
3500709,Sisal ou agave (fibra),1995,-
3500709,Sisal ou agave (fibra),2014,-
3500709,Tangerina,1995,186
3500709,Tangerina,2014,-
3500709,Tungue (fruto seco),1995,-
3500709,Tungue (fruto seco),2014,-
3500709,Urucum (semente),1995,-
3500709,Urucum (semente),2014,-
3500709,Uva,1995,-
3500709,Uva,2014,-
3500758,Abacate,1995,-
3500758,Abacate,2014,-
3500758,Algodão arbóreo (em caroço),1995,-
3500758,Algodão arbóreo (em caroço),2014,-
3500758,Azeitona,1995,-
3500758,Azeitona,2014,-
3500758,Banana (cacho),1995,-
3500758,Banana (cacho),2014,-
3500758,Borracha (látex coagulado),1995,-
3500758,Borracha (látex coagulado),2014,-
3500758,Cacau (em amêndoa),1995,-
3500758,Cacau (em amêndoa),2014,-
3500758,Café (em grão) Total,1995,-
3500758,Café (em grão) Total,2014,-
3500758,Café (em grão) Arábica,1995,-
3500758,Café (em grão) Arábica,2014,-
3500758,Café (em grão) Canephora,1995,-
3500758,Café (em grão) Canephora,2014,-
3500758,Caqui,1995,-
3500758,Caqui,2014,-
3500758,Castanha de caju,1995,-
3500758,Castanha de caju,2014,-
3500758,Chá-da-índia (folha verde),1995,-
3500758,Chá-da-índia (folha verde),2014,-
3500758,Coco-da-baía,1995,-
3500758,Coco-da-baía,2014,-
3500758,Dendê (cacho de coco),1995,-
3500758,Dendê (cacho de coco),2014,-
3500758,Erva-mate (folha verde),1995,-
3500758,Erva-mate (folha verde),2014,-
3500758,Figo,1995,-
3500758,Figo,2014,207
3500758,Goiaba,1995,-
3500758,Goiaba,2014,-
3500758,Guaraná (semente),1995,-
3500758,Guaraná (semente),2014,-
3500758,Laranja,1995,-
3500758,Laranja,2014,2074
3500758,Limão,1995,-
3500758,Limão,2014,-
3500758,Maçã,1995,-
3500758,Maçã,2014,-
3500758,Mamão,1995,-
3500758,Mamão,2014,-
3500758,Manga,1995,-
3500758,Manga,2014,-
3500758,Maracujá,1995,-
3500758,Maracujá,2014,-
3500758,Marmelo,1995,-
3500758,Marmelo,2014,-
3500758,Noz (fruto seco),1995,-
3500758,Noz (fruto seco),2014,-
3500758,Palmito,1995,-
3500758,Palmito,2014,-
3500758,Pera,1995,-
3500758,Pera,2014,-
3500758,Pêssego,1995,-
3500758,Pêssego,2014,-
3500758,Pimenta-do-reino,1995,-
3500758,Pimenta-do-reino,2014,-
3500758,Sisal ou agave (fibra),1995,-
3500758,Sisal ou agave (fibra),2014,-
3500758,Tangerina,1995,9
3500758,Tangerina,2014,-
3500758,Tungue (fruto seco),1995,-
3500758,Tungue (fruto seco),2014,-
3500758,Urucum (semente),1995,-
3500758,Urucum (semente),2014,-
3500758,Uva,1995,-
3500758,Uva,2014,-
3500808,Abacate,1995,-
3500808,Abacate,2014,-
3500808,Algodão arbóreo (em caroço),1995,-
3500808,Algodão arbóreo (em caroço),2014,-
3500808,Azeitona,1995,-
3500808,Azeitona,2014,-
3500808,Banana (cacho),1995,-
3500808,Banana (cacho),2014,-
3500808,Borracha (látex coagulado),1995,-
3500808,Borracha (látex coagulado),2014,19
3500808,Cacau (em amêndoa),1995,-
3500808,Cacau (em amêndoa),2014,-
3500808,Café (em grão) Total,1995,22
3500808,Café (em grão) Total,2014,25
3500808,Café (em grão) Arábica,1995,-
3500808,Café (em grão) Arábica,2014,25
3500808,Café (em grão) Canephora,1995,-
3500808,Café (em grão) Canephora,2014,-
3500808,Caqui,1995,-
3500808,Caqui,2014,38
3500808,Castanha de caju,1995,-
3500808,Castanha de caju,2014,-
3500808,Chá-da-índia (folha verde),1995,-
3500808,Chá-da-índia (folha verde),2014,-
3500808,Coco-da-baía,1995,-
3500808,Coco-da-baía,2014,39
3500808,Dendê (cacho de coco),1995,-
3500808,Dendê (cacho de coco),2014,-
3500808,Erva-mate (folha verde),1995,-
3500808,Erva-mate (folha verde),2014,-
3500808,Figo,1995,-
3500808,Figo,2014,-
3500808,Goiaba,1995,-
3500808,Goiaba,2014,-
3500808,Guaraná (semente),1995,-
3500808,Guaraná (semente),2014,-
3500808,Laranja,1995,33
3500808,Laranja,2014,-
3500808,Limão,1995,22
3500808,Limão,2014,-
3500808,Maçã,1995,-
3500808,Maçã,2014,-
3500808,Mamão,1995,-
3500808,Mamão,2014,-
3500808,Manga,1995,13
3500808,Manga,2014,-
3500808,Maracujá,1995,-
3500808,Maracujá,2014,39
3500808,Marmelo,1995,-
3500808,Marmelo,2014,-
3500808,Noz (fruto seco),1995,-
3500808,Noz (fruto seco),2014,-
3500808,Palmito,1995,-
3500808,Palmito,2014,-
3500808,Pera,1995,29
3500808,Pera,2014,155
3500808,Pêssego,1995,-
3500808,Pêssego,2014,-
3500808,Pimenta-do-reino,1995,-
3500808,Pimenta-do-reino,2014,-
3500808,Sisal ou agave (fibra),1995,-
3500808,Sisal ou agave (fibra),2014,-
3500808,Tangerina,1995,-
3500808,Tangerina,2014,-
3500808,Tungue (fruto seco),1995,-
3500808,Tungue (fruto seco),2014,-
3500808,Urucum (semente),1995,-
3500808,Urucum (semente),2014,-
3500808,Uva,1995,24
3500808,Uva,2014,199
3500907,Abacate,1995,-
3500907,Abacate,2014,-
3500907,Algodão arbóreo (em caroço),1995,-
3500907,Algodão arbóreo (em caroço),2014,-
3500907,Azeitona,1995,-
3500907,Azeitona,2014,-
3500907,Banana (cacho),1995,-
3500907,Banana (cacho),2014,-
3500907,Borracha (látex coagulado),1995,17
3500907,Borracha (látex coagulado),2014,658
3500907,Cacau (em amêndoa),1995,-
3500907,Cacau (em amêndoa),2014,-
3500907,Café (em grão) Total,1995,-
3500907,Café (em grão) Total,2014,-
3500907,Café (em grão) Arábica,1995,-
3500907,Café (em grão) Arábica,2014,-
3500907,Café (em grão) Canephora,1995,-
3500907,Café (em grão) Canephora,2014,-
3500907,Caqui,1995,-
3500907,Caqui,2014,-
3500907,Castanha de caju,1995,-
3500907,Castanha de caju,2014,-
3500907,Chá-da-índia (folha verde),1995,-
3500907,Chá-da-índia (folha verde),2014,-
3500907,Coco-da-baía,1995,-
3500907,Coco-da-baía,2014,-
3500907,Dendê (cacho de coco),1995,-
3500907,Dendê (cacho de coco),2014,-
3500907,Erva-mate (folha verde),1995,-
3500907,Erva-mate (folha verde),2014,-
3500907,Figo,1995,-
3500907,Figo,2014,-
3500907,Goiaba,1995,-
3500907,Goiaba,2014,-
3500907,Guaraná (semente),1995,-
3500907,Guaraná (semente),2014,-
3500907,Laranja,1995,4840
3500907,Laranja,2014,30777
3500907,Limão,1995,-
