Município,Ano,Area Colhida
3502804,1995,274
3502804,1996,282
3502804,1997,459
3502804,1998,468
3502804,1999,462
3502804,2000,529
3502804,2001,407
3502804,2002,611
3502804,2003,620
3502804,2004,631
3502804,2005,651
3502804,2006,601
3502804,2007,665
3502804,2008,650
3502804,2009,717
3502804,2010,713
3502804,2011,742
3502804,2012,568
3502804,2013,568
3502804,2014,621
3502903,1990,239
3502903,1991,240
3502903,1992,234
3502903,1993,180
3502903,1994,199
3502903,1995,177
3502903,1996,106
3502903,1997,104
3502903,1998,164
3502903,1999,158
3502903,2000,152
3502903,2001,176
3502903,2002,187
3502903,2003,153
3502903,2004,167
3502903,2005,190
3502903,2006,190
3502903,2007,69
3502903,2008,193
3502903,2009,47
3502903,2010,35
3502903,2011,42
3502903,2012,41
3502903,2013,32
3502903,2014,48
3503000,1990,185
3503000,1991,140
3503000,1992,140
3503000,1993,100
3503000,1994,77
3503000,1995,77
3503000,1996,77
3503000,1997,-
3503000,1998,-
3503000,1999,-
3503000,2000,-
3503000,2001,-
3503000,2002,-
3503000,2003,-
3503000,2004,-
3503000,2005,-
3503000,2006,-
3503000,2007,89
3503000,2008,78
3503000,2009,22
3503000,2010,94
3503000,2011,103
3503000,2012,97
3503000,2013,92
3503000,2014,92
3503109,1990,3431
3503109,1991,3464
3503109,1992,3437
3503109,1993,2995
3503109,1994,2514
3503109,1995,2202
3503109,1996,1732
3503109,1997,1595
3503109,1998,1579
3503109,1999,1579
3503109,2000,1384
3503109,2001,2030
3503109,2002,1528
3503109,2003,1525
3503109,2004,1598
3503109,2005,1524
3503109,2006,2100
3503109,2007,2084
3503109,2008,2065
3503109,2009,3850
3503109,2010,4890
3503109,2011,4900
3503109,2012,5000
3503109,2013,5000
3503109,2014,5000
3503158,1990,-
3503158,1991,-
3503158,1992,-
3503158,1993,157
3503158,1994,2
3503158,1995,121
3503158,1996,3
3503158,1997,49
3503158,1998,7
3503158,1999,49
3503158,2000,3
3503158,2001,41
3503158,2002,11
3503158,2003,9
3503158,2004,7
3503158,2005,8
3503158,2006,8
3503158,2007,8
3503158,2008,8
3503158,2009,11
3503158,2010,11
3503158,2011,9
3503158,2012,9
3503158,2013,15
3503158,2014,15
3503208,1990,25200
3503208,1991,36187
3503208,1992,36129
3503208,1993,13689
3503208,1994,15099
3503208,1995,13148
3503208,1996,16142
3503208,1997,15403
3503208,1998,10949
3503208,1999,10949
3503208,2000,8913
3503208,2001,6334
3503208,2002,7247
3503208,2003,9361
3503208,2004,6017
3503208,2005,5830
3503208,2006,5853
3503208,2007,6100
3503208,2008,6135
3503208,2009,6085
3503208,2010,6112
3503208,2011,3499
3503208,2012,1593
3503208,2013,2215
3503208,2014,2215
3503307,1990,10602
3503307,1991,11734
3503307,1992,10545
3503307,1993,8187
3503307,1994,8497
3503307,1995,6358
3503307,1996,7737
3503307,1997,7800
3503307,1998,7511
3503307,1999,7703
3503307,2000,5405
3503307,2001,5274
3503307,2002,5376
3503307,2003,5606
3503307,2004,4127
3503307,2005,4412
3503307,2006,4366
3503307,2007,5405
3503307,2008,4276
3503307,2009,5492
3503307,2010,4687
3503307,2011,5784
3503307,2012,1933
3503307,2013,1791
3503307,2014,2687
3503356,1990,-
3503356,1991,-
3503356,1992,-
3503356,1993,-
3503356,1994,-
3503356,1995,-
3503356,1996,-
3503356,1997,20
3503356,1998,122
3503356,1999,273
3503356,2000,231
3503356,2001,341
3503356,2002,256
3503356,2003,256
3503356,2004,273
3503356,2005,276
3503356,2006,276
3503356,2007,292
3503356,2008,388
3503356,2009,418
3503356,2010,439
3503356,2011,439
3503356,2012,442
3503356,2013,352
3503356,2014,280
3503406,1990,2467
3503406,1991,2525
3503406,1992,1979
3503406,1993,500
3503406,1994,1154
3503406,1995,1161
3503406,1996,1192
3503406,1997,1154
3503406,1998,1575
3503406,1999,1693
3503406,2000,1327
3503406,2001,1458
3503406,2002,1616
3503406,2003,1222
3503406,2004,1282
3503406,2005,1322
3503406,2006,1312
3503406,2007,1464
3503406,2008,1252
3503406,2009,1252
3503406,2010,1375
3503406,2011,1712
3503406,2012,1655
3503406,2013,1732
3503406,2014,2509
3503505,1990,40
3503505,1991,41
3503505,1992,13
3503505,1993,12
3503505,1994,16
3503505,1995,23
3503505,1996,9
3503505,1997,27
3503505,1998,20
3503505,1999,27
3503505,2000,41
3503505,2001,29
3503505,2002,29
3503505,2003,26
3503505,2004,24
3503505,2005,37
3503505,2006,32
3503505,2007,32
3503505,2008,31
3503505,2009,35
3503505,2010,10
3503505,2011,24
3503505,2012,24
3503505,2013,24
3503505,2014,24
3503604,1990,816
3503604,1991,818
3503604,1992,818
3503604,1993,195
3503604,1994,154
3503604,1995,187
3503604,1996,352
3503604,1997,345
3503604,1998,382
3503604,1999,346
3503604,2000,342
3503604,2001,309
3503604,2002,316
3503604,2003,386
3503604,2004,311
3503604,2005,216
3503604,2006,216
3503604,2007,217
3503604,2008,214
3503604,2009,217
3503604,2010,201
3503604,2011,200
3503604,2012,831
3503604,2013,150
3503604,2014,120
3503703,1990,2060
3503703,1991,1980
3503703,1992,1920
3503703,1993,1515
3503703,1994,1486
3503703,1995,1486
3503703,1996,283
3503703,1997,1783
3503703,1998,1668
3503703,1999,1589
3503703,2000,624
3503703,2001,678
3503703,2002,528
3503703,2003,586
3503703,2004,531
3503703,2005,589
